table_name	rls_enabled	rls_forced	policy_count
achievements	t	f	1
activity_log	t	f	1
ai_insights	t	f	2
ai_usage_log	t	f	1
annual_reviews	t	f	1
api_keys	t	f	1
appreciation_log	t	f	1
appreciation_logs	t	f	1
auto_reminder_settings	t	f	1
availability_blackouts	t	f	1
availability_blocks	t	f	2
availability_dates	t	f	2
availability_days	t	f	1
availability_pages	t	f	1
availability_settings	t	f	4
availability_slots	t	f	2
billing_milestones	t	f	1
booking_pages	t	f	2
booking_requests	t	f	1
bookings	t	f	1
brand_guides	t	f	1
brand_voice_guides	t	f	1
brief_scores	t	f	1
broadcast_emails	t	f	1
budget_expenses	t	f	1
budgets	t	f	1
burnout_assessments	t	f	1
business_expenses	t	f	1
business_plans	t	f	1
business_subscriptions	t	f	1
capacity_settings	t	f	1
case_studies	t	f	5
cashflow_items	t	f	1
client_activities	t	f	1
client_avatars	t	f	1
client_briefs	t	f	1
client_checkins	t	f	1
client_checklists	t	f	1
client_comm_log	t	f	1
client_comms	t	f	1
client_communications	t	f	1
client_contacts	t	f	2
client_documents	t	f	2
client_events	t	f	1
client_feedback	t	f	1
client_followups	t	f	1
client_gifts	t	f	1
client_goals	t	f	1
client_greeting_log	t	f	1
client_important_dates	t	f	2
client_interactions	t	f	1
client_ltv_snapshots	t	f	1
client_meetings	t	f	1
client_moods	t	f	1
client_notes	t	f	2
client_nps	t	f	1
client_onboarding_emails	t	f	1
client_onboardings	t	f	1
client_portal_tokens	t	f	2
client_portals	t	f	2
client_quick_notes	t	f	1
client_referrals	t	f	1
client_retainers	t	f	1
client_satisfaction	t	f	1
client_status_updates	t	f	1
client_surveys	t	f	2
client_testimonials	t	f	1
client_welcome_links	t	f	1
client_winback	t	f	1
clients	t	f	1
closeout_items	t	f	1
coach_conversations	t	f	1
coach_messages	t	f	1
coaching_tips	t	f	1
comm_templates	t	f	2
communication_logs	t	f	1
communications	t	f	1
community_messages	t	f	2
community_profiles	t	f	2
community_rooms	t	f	1
competitor_analyses	t	f	1
contact_inquiries	t	f	1
content_briefs	t	f	1
content_posts	t	f	2
contract_amendments	t	f	1
contract_analyses	t	f	1
contract_breaches	t	f	1
contract_builds	t	f	1
contract_checklists	t	f	1
contract_clauses	t	f	2
contract_signatures	t	f	1
contract_template_builder	t	f	1
contract_templates	t	f	1
contractor_assignments	t	f	1
contractors	t	f	1
contracts	t	f	3
cover_letters	t	f	1
credit_notes	t	f	1
crm_leads	t	f	1
crm_reminders	t	f	1
currency_settings	t	f	1
daily_dashboard_data	t	f	1
daily_productivity_scores	t	f	1
daily_tasks	t	f	1
daily_tips	t	f	1
deliverable_revisions	t	f	1
deliverables	t	f	1
dev_feedback	t	f	2
digest_preferences	t	f	1
digest_send_log	t	f	1
digest_settings	t	f	1
digital_product_sales	t	f	1
digital_products	t	f	1
discount_codes	t	f	1
email_logs	t	f	1
email_responses	t	f	1
email_sequences	t	f	1
email_signatures	t	f	1
email_templates	t	f	1
email_unsubscribe_log	t	f	0
emergency_fund_log	t	f	1
estimates	t	f	1
expense_budgets	t	f	2
expense_categories	t	f	1
expenses	t	f	2
faq_sets	t	f	1
financial_settings	t	f	1
focus_blocks	t	f	1
focus_sessions	t	f	1
freelance_goals	t	f	1
freelance_project_templates	t	f	1
freelancer_skills	t	f	1
