Connecting to remote database...
Skipping migration 20260426000012b_profile_public.sql... (file name must match pattern "<timestamp>_name.sql")

  
   Local          | Remote         | Time (UTC)          
  ----------------|----------------|---------------------
   20260424000001 | 20260424000001 | 2026-04-24 00:00:01 
   20260425000001 | 20260425000001 | 2026-04-25 00:00:01 
   20260425000002 |                | 2026-04-25 00:00:02 
   20260425000003 |                | 2026-04-25 00:00:03 
   20260425000004 |                | 2026-04-25 00:00:04 
   20260425000005 |                | 2026-04-25 00:00:05 
   20260425000006 |                | 2026-04-25 00:00:06 
   20260425000007 |                | 2026-04-25 00:00:07 
   20260425000008 |                | 2026-04-25 00:00:08 
   20260425000009 |                | 2026-04-25 00:00:09 
   20260425000010 |                | 2026-04-25 00:00:10 
   20260425000011 |                | 2026-04-25 00:00:11 
   20260425000012 |                | 2026-04-25 00:00:12 
   20260425000013 |                | 2026-04-25 00:00:13 
   20260425000014 |                | 2026-04-25 00:00:14 
   20260425000015 |                | 2026-04-25 00:00:15 
   20260425000016 |                | 2026-04-25 00:00:16 
   20260425000017 |                | 2026-04-25 00:00:17 
   20260425000018 |                | 2026-04-25 00:00:18 
   20260425000019 |                | 2026-04-25 00:00:19 
   20260425000020 |                | 2026-04-25 00:00:20 
   20260425000021 |                | 2026-04-25 00:00:21 
   20260425000022 |                | 2026-04-25 00:00:22 
   20260425000023 |                | 2026-04-25 00:00:23 
   20260425000024 |                | 2026-04-25 00:00:24 
   20260425000025 |                | 2026-04-25 00:00:25 
   20260425000026 |                | 2026-04-25 00:00:26 
   20260425000027 |                | 2026-04-25 00:00:27 
   20260425000028 |                | 2026-04-25 00:00:28 
   20260425000029 |                | 2026-04-25 00:00:29 
   20260425000030 |                | 2026-04-25 00:00:30 
   20260425000031 |                | 2026-04-25 00:00:31 
   20260425000032 |                | 2026-04-25 00:00:32 
   20260425000033 |                | 2026-04-25 00:00:33 
   20260425000034 |                | 2026-04-25 00:00:34 
   20260425000035 |                | 2026-04-25 00:00:35 
   20260425000036 |                | 2026-04-25 00:00:36 
   20260425000037 |                | 2026-04-25 00:00:37 
   20260425000038 |                | 2026-04-25 00:00:38 
   20260425000039 |                | 2026-04-25 00:00:39 
   20260425000040 |                | 2026-04-25 00:00:40 
   20260425000041 |                | 2026-04-25 00:00:41 
   20260425000042 |                | 2026-04-25 00:00:42 
   20260425000043 |                | 2026-04-25 00:00:43 
   20260425000044 |                | 2026-04-25 00:00:44 
   20260425000045 |                | 2026-04-25 00:00:45 
   20260425000046 |                | 2026-04-25 00:00:46 
   20260425000047 |                | 2026-04-25 00:00:47 
   20260425000048 |                | 2026-04-25 00:00:48 
   20260425000049 |                | 2026-04-25 00:00:49 
   20260426000001 |                | 2026-04-26 00:00:01 
   20260426000002 |                | 2026-04-26 00:00:02 
   20260426000003 |                | 2026-04-26 00:00:03 
   20260426000004 |                | 2026-04-26 00:00:04 
   20260426000005 |                | 2026-04-26 00:00:05 
   20260426000006 |                | 2026-04-26 00:00:06 
   20260426000007 |                | 2026-04-26 00:00:07 
   20260426000008 |                | 2026-04-26 00:00:08 
   20260426000009 |                | 2026-04-26 00:00:09 
   20260426000010 |                | 2026-04-26 00:00:10 
   20260426000011 |                | 2026-04-26 00:00:11 
   20260426000012 |                | 2026-04-26 00:00:12 
   20260426000013 |                | 2026-04-26 00:00:13 
   20260426000014 |                | 2026-04-26 00:00:14 
   20260426000015 |                | 2026-04-26 00:00:15 
   20260426000016 |                | 2026-04-26 00:00:16 
   20260426000017 |                | 2026-04-26 00:00:17 
   20260426000018 |                | 2026-04-26 00:00:18 
   20260426000019 |                | 2026-04-26 00:00:19 
   20260426000020 |                | 2026-04-26 00:00:20 
   20260426000021 |                | 2026-04-26 00:00:21 
   20260426000060 |                | 20260426000060      
   20260426000065 |                | 20260426000065      
   20260426000069 |                | 20260426000069      
   20260426000073 |                | 20260426000073      
   20260426000075 |                | 20260426000075      
   20260426000083 |                | 20260426000083      
   20260426000087 |                | 20260426000087      
   20260426000091 |                | 20260426000091      
   20260426000092 |                | 20260426000092      
   20260426000093 |                | 20260426000093      
   20260426000094 |                | 20260426000094      
   20260426000095 |                | 20260426000095      
   20260426000096 |                | 20260426000096      
   20260426000102 |                | 2026-04-26 00:01:02 
   20260426000103 |                | 2026-04-26 00:01:03 
   20260426000104 |                | 2026-04-26 00:01:04 
   20260426000105 |                | 2026-04-26 00:01:05 
   20260426000107 |                | 2026-04-26 00:01:07 
   20260426000110 |                | 2026-04-26 00:01:10 
   20260426000112 |                | 2026-04-26 00:01:12 
   20260426000113 |                | 2026-04-26 00:01:13 
   20260426000118 |                | 2026-04-26 00:01:18 
   20260426000119 |                | 2026-04-26 00:01:19 
   20260426000121 |                | 2026-04-26 00:01:21 
   20260426000122 |                | 2026-04-26 00:01:22 
   20260426000123 |                | 2026-04-26 00:01:23 
   20260426000125 |                | 2026-04-26 00:01:25 
   20260426000127 |                | 2026-04-26 00:01:27 
   20260426000128 |                | 2026-04-26 00:01:28 
   20260426000200 |                | 2026-04-26 00:02:00 
   20260426000201 |                | 2026-04-26 00:02:01 
   20260426000202 |                | 2026-04-26 00:02:02 
   20260426000300 |                | 2026-04-26 00:03:00 
   20260426000301 |                | 2026-04-26 00:03:01 
   20260426000302 |                | 2026-04-26 00:03:02 
   20260426000400 |                | 2026-04-26 00:04:00 
   20260426000401 |                | 2026-04-26 00:04:01 
   20260426000402 |                | 2026-04-26 00:04:02 
   20260426000425 |                | 2026-04-26 00:04:25 
   20260426000427 |                | 2026-04-26 00:04:27 
   20260426000429 |                | 2026-04-26 00:04:29 
   20260426000432 |                | 2026-04-26 00:04:32 
   20260426000433 |                | 2026-04-26 00:04:33 
   20260426000436 |                | 2026-04-26 00:04:36 
   20260426000437 |                | 2026-04-26 00:04:37 
   20260426000438 |                | 2026-04-26 00:04:38 
   20260426000441 |                | 2026-04-26 00:04:41 
   20260426000443 |                | 2026-04-26 00:04:43 
   20260426000446 |                | 2026-04-26 00:04:46 
   20260426000447 |                | 2026-04-26 00:04:47 
   20260426000448 |                | 2026-04-26 00:04:48 
   20260426000450 |                | 2026-04-26 00:04:50 
   20260426000455 |                | 2026-04-26 00:04:55 
   20260426000502 |                | 2026-04-26 00:05:02 
   20260426000602 |                | 2026-04-26 00:06:02 
   20260426000702 |                | 2026-04-26 00:07:02 
   20260426000802 |                | 2026-04-26 00:08:02 
   20260426000902 |                | 2026-04-26 00:09:02 
   20260426001002 |                | 2026-04-26 00:10:02 
   20260426001102 |                | 2026-04-26 00:11:02 
   20260426001202 |                | 2026-04-26 00:12:02 
   20260426001302 |                | 2026-04-26 00:13:02 
   20260426001402 |                | 2026-04-26 00:14:02 
   20260426001502 |                | 2026-04-26 00:15:02 
   20260426001602 |                | 2026-04-26 00:16:02 
   20260426001702 |                | 2026-04-26 00:17:02 
   20260426001802 |                | 2026-04-26 00:18:02 
   20260426001902 |                | 2026-04-26 00:19:02 
   20260426002002 |                | 2026-04-26 00:20:02 
   20260426002202 |                | 2026-04-26 00:22:02 
   20260426002302 |                | 2026-04-26 00:23:02 
   20260426002402 |                | 2026-04-26 00:24:02 
   20260426002502 |                | 2026-04-26 00:25:02 
   20260426002602 |                | 2026-04-26 00:26:02 
   20260426002702 |                | 2026-04-26 00:27:02 
   20260426002802 |                | 2026-04-26 00:28:02 
   20260426002902 |                | 2026-04-26 00:29:02 
   20260426003000 |                | 2026-04-26 00:30:00 
   20260427000100 |                | 2026-04-27 00:01:00 
   20260427000257 |                | 2026-04-27 00:02:57 
   20260427000258 |                | 2026-04-27 00:02:58 
   20260427000264 |                | 20260427000264      
   20260427000265 |                | 20260427000265      
   20260427000267 |                | 20260427000267      
   20260427000268 |                | 20260427000268      
   20260427000269 |                | 20260427000269      
   20260427000271 |                | 20260427000271      
   20260427000274 |                | 20260427000274      
   20260427000280 |                | 20260427000280      
   20260427000281 |                | 20260427000281      
   20260427000282 |                | 20260427000282      
   20260427000283 |                | 20260427000283      
   20260427000284 |                | 20260427000284      
   20260427000286 |                | 20260427000286      
   20260427000288 |                | 20260427000288      
   20260427000292 |                | 20260427000292      
   20260427000294 |                | 20260427000294      
   20260427000295 |                | 20260427000295      
   20260427000296 |                | 20260427000296      
   20260427000297 |                | 20260427000297      
   20260427000298 |                | 20260427000298      
   20260427000301 |                | 2026-04-27 00:03:01 
   20260427000302 |                | 2026-04-27 00:03:02 
   20260427000303 |                | 2026-04-27 00:03:03 
   20260427000305 |                | 2026-04-27 00:03:05 
   20260427000306 |                | 2026-04-27 00:03:06 
   20260427000307 |                | 2026-04-27 00:03:07 
