route	methods	auth_check	cron_check	sig_check
recurring-tasks/route.ts	GET,POST	yes	-	-
scenario-planner/route.ts	GET,POST	yes	-	-
retainer-dashboard/route.ts	GET	yes	-	-
networking-events/route.ts	GET,POST	yes	-	-
proposal-profile/route.ts	GET,POST	yes	-	-
morning-briefing/route.ts	GET	yes	-	-
contract-analyzer/route.ts	GET,POST	yes	-	-
project-estimates/route.ts	GET,POST	yes	-	-
emergency-fund/route.ts	DELETE,GET,PATCH,POST	yes	-	-
generated-contracts/route.ts	GET,POST	yes	-	-
client-avatars/route.ts	GET,POST	yes	-	-
savings/route.ts	GET,POST	yes	-	-
timezone/route.ts	GET,POST,PUT	yes	-	-
onboarding-flows/route.ts	GET,POST	yes	-	-
mood-journal/route.ts	GET,POST,PUT	yes	-	-
linkedin-posts/route.ts	DELETE,GET,POST	yes	-	-
pricing-page/route.ts	GET,PATCH,POST	yes	-	-
opportunity-eval/route.ts	DELETE,GET,PATCH,POST	yes	-	-
questionnaires/route.ts	GET,POST	yes	-	-
testimonials/route.ts	GET,POST	yes	-	-
tool-subscriptions/route.ts	GET,POST	yes	-	-
project-velocity/route.ts	DELETE,GET,POST	yes	-	-
risk-analyzer/route.ts	GET	yes	-	-
income-goals/route.ts	DELETE,GET,POST	yes	-	-
portfolio-site/route.ts	GET,PUT	yes	-	-
invoices/route.ts	GET,POST	yes	-	-
goals/route.ts	GET,POST	yes	-	-
quotes/route.ts	DELETE,GET,PATCH,POST	yes	-	-
risk-assessments/route.ts	GET,POST	yes	-	-
work-location/route.ts	DELETE,GET,POST	yes	-	-
email-templates/route.ts	GET,POST	yes	-	-
work-patterns/route.ts	GET	yes	-	-
contract-template-lib/route.ts	GET,POST	yes	-	-
weekly-review/route.ts	GET	yes	-	-
brief-scores/route.ts	DELETE,GET,POST	yes	-	-
booking/route.ts	GET,POST	yes	-	-
estimates/route.ts	GET,POST	yes	-	-
scope-changes/route.ts	DELETE,GET,PATCH,POST	yes	-	-
activity/route.ts	GET	yes	-	-
niche-research/route.ts	GET,POST	yes	-	-
faq/route.ts	GET,POST	yes	-	-
time-off/route.ts	GET,POST	yes	-	-
weekly-plans/route.ts	GET,POST,PUT	yes	-	-
project-notes/route.ts	GET,POST	yes	-	-
standups/route.ts	GET,POST	yes	-	-
comm-log/route.ts	GET,POST	yes	-	-
risk-register/route.ts	GET,POST	yes	-	-
referrals/route.ts	DELETE,GET,PATCH,POST	yes	-	-
communication-logs/route.ts	GET,POST	yes	-	-
learning/route.ts	GET,POST	yes	-	-
expenses/route.ts	DELETE,GET,PATCH,POST	yes	-	-
leads/route.ts	GET,POST	yes	-	-
retainer-proposals/route.ts	GET,POST	yes	-	-
project-briefs/route.ts	GET,POST	yes	-	-
client-intelligence/route.ts	DELETE,GET,POST	yes	-	-
service-launch/route.ts	DELETE,GET,PATCH,POST	yes	-	-
service-descriptions/route.ts	DELETE,GET,POST	yes	-	-
content/route.ts	GET,POST	yes	-	-
work-logs/route.ts	GET,POST	yes	-	-
cashflow/route.ts	GET,POST	yes	-	-
tax-estimator/route.ts	GET	yes	-	-
work-rhythm/route.ts	GET,PATCH	yes	-	-
intake-forms/route.ts	GET,POST	yes	-	-
client-ltv/route.ts	GET	yes	-	-
revenue-forecast/route.ts	DELETE,GET,POST	yes	-	-
client-portals/route.ts	GET,POST	yes	-	-
tax-estimates/route.ts	GET,POST	yes	-	-
ltv-predictions/route.ts	GET,POST	yes	-	-
unsubscribe/route.ts	GET,POST	-	-	-
invoice-installments/route.ts	GET,POST	yes	-	-
project-risks/route.ts	GET,POST	yes	-	-
nps/route.ts	GET,POST	yes	-	-
rate-increase/route.ts	DELETE,GET,PATCH,POST	yes	-	-
status-pages/route.ts	GET,POST	yes	-	-
contract-breaches/route.ts	GET,POST	yes	-	-
pricing-strategy/route.ts	GET,POST	yes	-	-
feedback/route.ts	DELETE,GET,POST	yes	-	-
revenue-tracker/route.ts	GET,POST	yes	-	-
communication-log/route.ts	GET,POST	yes	-	-
time/route.ts	GET	yes	-	-
milestone-billing/route.ts	GET,POST	yes	-	-
recurring-invoices/route.ts	DELETE,GET,PATCH,POST	yes	-	-
case-studies/route.ts	DELETE,GET,POST	yes	-	-
business-health/route.ts	GET	yes	-	-
subscriptions/route.ts	GET,POST	yes	-	-
tags/route.ts	GET,POST	yes	-	-
search/route.ts	GET	yes	-	-
invoice-disputes/route.ts	DELETE,GET,PATCH,POST	yes	-	-
growth-roadmap/route.ts	GET,POST	yes	-	-
work-journal/route.ts	GET,POST	yes	-	-
intake/route.ts	DELETE,GET,PATCH,POST	yes	-	-
gantt/route.ts	GET	yes	-	-
client-risk/route.ts	GET	yes	-	-
capacity/route.ts	GET,POST	yes	-	-
service-pages/route.ts	GET,POST	yes	-	-
client-health/route.ts	GET	yes	-	-
onboarding-progress/route.ts	GET,PATCH	yes	-	-
meeting-roi/route.ts	DELETE,GET,PATCH,POST	yes	-	-
late-fees/route.ts	GET,POST	yes	-	-
status-reports/route.ts	DELETE,GET,PATCH,POST	yes	-	-
learning-goals/route.ts	DELETE,GET,PATCH,POST	yes	-	-
proposal-analytics/route.ts	GET	yes	-	-
portals/route.ts	GET,POST	yes	-	-
niche-finder/route.ts	GET,POST	yes	-	-
digital-products/route.ts	GET,POST	yes	-	-
okr/route.ts	GET,POST	yes	-	-
satisfaction/route.ts	GET,POST	yes	-	-
deliverables/route.ts	DELETE,GET,PATCH,POST	yes	-	-
invoice-aging/route.ts	GET	yes	-	-
